"","item_colnames","item_realnames","full_items","english_shortname"
"55","MEV_19","Dutch MEQ30 Question 19","Being in a realm with no space boundaries","MEQ 19"
"56","MEV_20","Dutch MEQ30 Question 20","Experience of oneness in relation to an “inner world” within","MEQ 20"
"57","MEV_21","Dutch MEQ30 Question 21","Sense of reverence","MEQ 21"
"58","MEV_22","Dutch MEQ30 Question 22","Experience of timelessness","MEQ 22"
"59","MEV_23","Dutch MEQ30 Question 23","You are convinced now, as you look back on your experience, that in it you encountered ultimate reality (i.e., that you “knew” and “saw” what was really real)","MEQ 23"
"60","MEV_24","Dutch MEQ30 Question 24","Feeling that you experienced something profoundly sacred and holy","MEQ 24"
"61","MEV_25","Dutch MEQ30 Question 25","Awareness of the life or living presence in all things","MEQ 25"
"62","MEV_26","Dutch MEQ30 Question 26","Experience of the fusion of your personal self into a larger whole","MEQ 26"
"63","MEV_27","Dutch MEQ30 Question 27","Sense of awe or awesomeness","MEQ 27"
"64","MEV_28","Dutch MEQ30 Question 28","Experience of unity with ultimate reality","MEQ 28"
"65","MEV_29","Dutch MEQ30 Question 29","Feeling that it would be difficult to communicate your own experience to others who have not had similar experiences","MEQ 29"
"66","MEV_30","Dutch MEQ30 Question 30","Feelings of joy","MEQ 30"
"67","SWLS...before_1","SWLS Before the Psychedelic Experience Question 1","In most ways my life is close to my ideal","SWLS before 1"
"68","SWLS...before_2","SWLS Before the Psychedelic Experience Question 2","The conditions of my life are excellent","SWLS before 2"
"69","SWLS...before_3","SWLS Before the Psychedelic Experience Question 3","I am satisfied with my life","SWLS before 3"
"70","SWLS...before_4","SWLS Before the Psychedelic Experience Question 4","So far I have gotten the important things I want in life","SWLS before 4"
"71","SWLS...before_5","SWLS Before the Psychedelic Experience Question 5","If I could live my life over, I would change almost nothing.","SWLS before 5"
"72","SWLS...after_1","SWLS After the Psychedelic Experience Question 1","In most ways my life is close to my ideal","SWLS after 1"
"73","SWLS...after_2","SWLS After the Psychedelic Experience Question 2","The conditions of my life are excellent","SWLS after 2"
"74","SWLS...after_3","SWLS After the Psychedelic Experience Question 3","I am satisfied with my life","SWLS after 3"
"75","SWLS...after_4","SWLS After the Psychedelic Experience Question 4","So far I have gotten the important things I want in life","SWLS after 4"
"76","SWLS...after_5","SWLS After the Psychedelic Experience Question 5","If I could live my life over, I would change almost nothing.","SWLS after 5"
"77","PIS.6_1","PIS-NL Question 1","I have had important new insights about how past events have influenced my current mental health and behaviour","PIS 1"
"78","PIS.6_2","PIS-NL Question 2","I have learned important new ways of thinking about my ‘self’ and my problems","PIS 2"
"79","PIS.6_3","PIS-NL Question 3","I have had important new insights about how I would like to change aspects of myself or my lifestyle","PIS 3"
"80","PIS.6_4","PIS-NL Question 4","I have become more conscious of aspects of my past that I used to ignore or not be fully aware of","PIS 4"
"81","PIS.6_5","PIS-NL Question 5","I have become more conscious of aspects of my ‘self’ that I used to ignore or not be fully aware of","PIS 5"
"82","PIS.6_6","PIS-NL Question 6","I have become more conscious of aspects of my lifestyle that I used to ignore or not be fully aware of","PIS 6"
"83","PIS.7._1","PIS-NL Question 7","I have made positive changes to my lifestyle and/or behaviour in accordance with the insights I have gained as part of my treatment/experience’","PIS 7"
